Site,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
002_7230_FY19,23.25,22,23.5,23,21.5,21.75,22.25,,,,,,,,,,,,,,,,,,
002_7241_FY19,22.5,21.75,21,23.25,22.5,22.75,22.75,22.5,23.75,23.75,23.5,23.5,23,22.25,22,23.25,23.75,24.25,25.25,25.25,25,23.5,23.5,22.75,23.25
002_7347_FY19,13.5,1.25,3.25,7.75,17.75,20.75,19.75,22.5,11,1.75,,,,,,,,,,,,,,,
002_7449_FY19,20.75,23.25,20.5,22.5,21.75,21.25,23,,,,,,,,,,,,,,,,,,
002_7547_FY19,13.5,16,15.75,17.75,14.75,,,,,,,,,,,,,,,,,,,,
002_7552_FY19,25,23.75,23.75,24.25,23.25,,,,,,,,,,,,,,,,,,,,
002_7553_FY19,22.25,14.25,11.75,12.25,11,7.5,7.75,12,,,,,,,,,,,,,,,,,
002_7754_FY19,14,16.5,16.25,18,15.5,,,,,,,,,,,,,,,,,,,,
002_7855_FY19,23.5,24.25,24.25,24.25,23.5,,,,,,,,,,,,,,,,,,,,
002_7862_FY19,2,12.25,19.5,14.75,2.75,2,13.25,18,18.75,13,11,,,,,,,,,,,,,,
002_7866_FY19,14.75,14.75,15,18.25,18,,,,,,,,,,,,,,,,,,,,
002_7868_FY19,19.75,20.75,21.75,19.25,20.75,,,,,,,,,,,,,,,,,,,,
002_8053_FY19,20.75,20.5,21,20.25,18.25,,,,,,,,,,,,,,,,,,,,
002_8184_FY19,7.75,10.5,11.25,13.5,16.25,,,,,,,,,,,,,,,,,,,,
002_8215_FY19,17.5,19,21.5,20.75,,,,,,,,,,,,,,,,,,,,,
002_8222_FY19,7,7.75,14,12.25,15.25,19.5,20.25,20,20.5,8.75,14.25,20.5,20.25,9.25,,,,,,,,,,,
003_5231_FY19,14,13.5,17.5,18.25,18.25,19.25,21.75,20,,,,,,,,,,,,,,,,,
003_5337_FY19,2.25,5,3.25,5.25,6.25,12,10.75,13.75,18.75,19.75,19,19.5,9.25,12.25,18.25,,,,,,,,,,
003_5444_FY19,20.75,21.5,23.5,21,22.5,22,21.5,,,,,,,,,,,,,,,,,,
003_5450_FY19,19.5,19.5,18.75,18,17.25,,,,,,,,,,,,,,,,,,,,
003_5551_FY19,23,24.75,24,24,,,,,,,,,,,,,,,,,,,,,
003_5555_FY19,21.75,20,17.5,20.5,21.5,23.25,23.25,22.5,23,,,,,,,,,,,,,,,,
003_5647_FY19,17.25,20.25,23.25,23.75,21,20.75,,,,,,,,,,,,,,,,,,,
003_5654_FY19,13,14.25,15,11.75,12.75,15.75,,,,,,,,,,,,,,,,,,,
003_5655_FY19,13,13.5,14.75,12.5,13.25,15.25,14.5,,,,,,,,,,,,,,,,,,
003_5750_FY19,13.75,13.5,14,15,10.75,12.75,15,14,,,,,,,,,,,,,,,,,
003_6063_FY19,5.25,12.5,13.25,14,12.75,13.75,14.75,11.75,13,15.25,14.25,,,,,,,,,,,,,,
003_6064_FY19,3,2.75,1,8,11.25,14.5,18,20.25,,,,,,,,,,,,,,,,,
003_6069_FY19,22.75,22.75,23.5,24,22.5,24,,,,,,,,,,,,,,,,,,,
003_6179_FY19,14.75,2.25,10.75,10.75,7.25,11,13.5,17,5.25,2.25,4.5,11.75,,,,,,,,,,,,,
003_8059_FY19,21.5,22.25,24.5,21.5,23.5,22.5,23.5,,,,,,,,,,,,,,,,,,
003_8060_FY19,21,19.25,19,20,,,,,,,,,,,,,,,,,,,,,
004_3794_FY19,23.5,23.5,23,22.5,24.5,22.75,23.75,,,,,,,,,,,,,,,,,,
004_3893_FY19,2.25,4.75,3.25,5.25,8.75,13.5,12.75,16,19.75,20.5,19.5,,,,,,,,,,,,,,
004_3897_FY19,14.25,15.5,13.25,11,11.75,4.25,0.25,11,15.5,12,0.25,9.75,10.25,6.25,11.75,13.5,17.25,6,2.5,5,11.25,19,19.75,,
004_3996_FY19,16,6.25,1.25,7,12,14.25,16,14.5,,,,,,,,,,,,,,,,,
004_4004_FY19,14.5,16.5,13,12,12.5,5.25,0,11.75,14.5,11.75,0,9.25,9.75,5.5,10.5,12.5,17,3.5,0,,,,,,
004_4100_FY19,23.25,23.75,22.75,23.75,,,,,,,,,,,,,,,,,,,,,
004_4109_FY19,13,19.25,16.75,18.25,19.25,21.5,,,,,,,,,,,,,,,,,,,
004_4306_FY19,14,1.25,3.5,9,18.5,20.5,19,23.25,11.75,2,11,,,,,,,,,,,,,,
004_4308_FY19,13.25,19.5,14.5,1.5,2,13.25,17.25,18.5,13,7.5,6,,,,,,,,,,,,,,
004_4513_FY19,13.5,14,13.75,18,,,,,,,,,,,,,,,,,,,,,
004_4516_FY19,16.75,6.75,2.5,7.75,13.25,15.5,17,15.25,,,,,,,,,,,,,,,,,
004_4518_FY19,19.75,21.5,20.75,19,20.25,20,,,,,,,,,,,,,,,,,,,
004_4520_FY19,22,24,22.75,23.5,23.25,21.25,21.75,22.25,,,,,,,,,,,,,,,,,
004_4522_FY19,11.25,12,14,18.5,,,,,,,,,,,,,,,,,,,,,
004_4618_FY19,14.75,15.75,15,17.25,14,,,,,,,,,,,,,,,,,,,,
004_4619_FY19,10.5,11.5,13.5,17.5,,,,,,,,,,,,,,,,,,,,,
004_4722_FY19,22.75,23.75,23,23.75,,,,,,,,,,,,,,,,,,,,,
004_4729_FY19,5.25,7.25,10.25,9,11,13,19,,,,,,,,,,,,,,,,,,
004_4827_FY19,13,12.25,18.75,17,17.75,18.75,21.25,19.25,,,,,,,,,,,,,,,,,
004_4834_FY19,24.5,24.75,25,25.25,24.5,25.5,24.25,,,,,,,,,,,,,,,,,,
004_4835_FY19,8,16.75,14,5.25,1.5,4,7.25,11.75,14,17,20,17,15.25,14.5,14.5,15,18,14.25,5,9.75,9.25,10.75,1.5,,
004_4924_FY19,24.75,23.75,23,23,22.75,23.25,23.5,,,,,,,,,,,,,,,,,,
004_4925_FY19,18.5,18.5,19.25,19,,,,,,,,,,,,,,,,,,,,,
004_4937_FY19,9,15.25,17.25,18.5,18.5,,,,,,,,,,,,,,,,,,,,
004_4939_FY19,22.75,22.75,23.5,24.5,25.5,24.25,25,,,,,,,,,,,,,,,,,,
004_5027_FY19,22.75,23,23.5,24,22.75,24.25,,,,,,,,,,,,,,,,,,,
004_5042_FY19,23.75,23.5,25.5,24.75,26.5,25.75,23.25,23.5,,,,,,,,,,,,,,,,,
004_5138_FY19,22.75,22.25,23,23.5,23.5,23.25,22.75,,,,,,,,,,,,,,,,,,
004_5143_FY19,18.75,19,19,18,15.75,,,,,,,,,,,,,,,,,,,,
004_5236_FY19,18.5,17.75,16.5,17.25,18.75,,,,,,,,,,,,,,,,,,,,
004_5243_FY19,17,5.75,3.5,8.5,13.25,15.75,16.75,15.5,,,,,,,,,,,,,,,,,
004_5245_FY19,12.25,19.75,14.25,1.75,2.25,12.25,17.25,18.25,12.25,7.25,5.5,,,,,,,,,,,,,,
004_5246_FY19,23.25,23.25,24,24,,,,,,,,,,,,,,,,,,,,,
004_5344_FY19,17,18.75,18.5,18.25,,,,,,,,,,,,,,,,,,,,,
005_5906_FY19,13.25,16,17.25,17,15,14.75,14.25,21.5,17,15.5,,,,,,,,,,,,,,,
005_5911_FY19,18.75,20.25,22.25,20,21.25,,,,,,,,,,,,,,,,,,,,
005_6001_FY19,20.75,20.5,19.25,20.5,20.75,,,,,,,,,,,,,,,,,,,,
005_6002_FY19,12.5,16,16.75,16,15,15,13.75,21.25,16.5,15.25,,,,,,,,,,,,,,,
005_6006_FY19,22,24,23.25,23,22.5,24,23.75,24,,,,,,,,,,,,,,,,,
005_6012_FY19,22.25,22.75,21.75,22,,,,,,,,,,,,,,,,,,,,,
