Site,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
002_6396_FY19,27.25638138,26.85848348,27.26011994,26.92316342,26.9512012,21.84579146,24.1408805,12.39735516,11.13794192,14.15423515,16.0256654,16.05139594,,,,,,,,,,,,,
002_6399_FY19,25.52390438,25.18136605,25.58895503,25.71532365,25.84795515,24.71189225,,,,,,,,,,,,,,,,,,,
002_6493_FY19,20.94066148,20.94903226,22.34362934,22.85604113,,,,,,,,,,,,,,,,,,,,,
002_6496_FY19,27.54671151,27.93049327,25.10127055,27.94402985,,,,,,,,,,,,,,,,,,,,,
002_6503_FY19,14.95698577,16.51356589,16.54915912,13.64935065,12.24967448,16.14634941,17.50457516,,,,,,,,,,,,,,,,,,
002_6596_FY19,20.01566416,9.111668758,6.447798742,11.53620907,15.9520202,19.85601266,22.43155894,21.06925032,,,,,,,,,,,,,,,,,
002_6597_FY19,16.84802713,20.67561728,16.25804455,7.388475836,7.153846154,6.763075965,12.27992519,15.87125,,,,,,,,,,,,,,,,,
002_6608_FY19,23.03486293,9.429594272,14.86214115,15.82374101,20.55342137,22.54326923,22.61987952,22.94119421,19.0093599,17.81023002,21.10376214,21.03953771,22.41717418,23.20060976,21.32518337,10.47643819,14.2708589,14.47386224,17.57573892,,,,,,
002_6711_FY19,25.04008439,23.90730337,25.01785714,23.83321678,24.71722455,,,,,,,,,,,,,,,,,,,,
002_6920_FY19,25.33308605,27.07222222,26.50074074,26.59527326,,,,,,,,,,,,,,,,,,,,,
002_6921_FY19,21.48944064,11.81449772,16.28281963,22.36887115,21.56413911,,,,,,,,,,,,,,,,,,,,
002_6923_FY19,23.17428786,25.03148426,26.97301349,23.68178411,24.45727136,24.46364318,24.09384384,,,,,,,,,,,,,,,,,,
002_6924_FY19,25.14381153,23.81958042,24.78730823,25.30501393,25.16284722,25.0350208,,,,,,,,,,,,,,,,,,,
002_6931_FY19,26.20546407,26.11136024,23.94394619,26.52164179,,,,,,,,,,,,,,,,,,,,,
002_7026_FY19,23.74437781,24.0254491,25.42627246,27.26606876,27.66106129,,,,,,,,,,,,,,,,,,,,
002_7230_FY19,25.3304878,24.04227494,25.64034022,24.03424242,24.26360339,24.81711004,25.79945718,,,,,,,,,,,,,,,,,,
002_7241_FY19,24.09356725,23.61151603,23.67430859,25.79287791,24.56956522,24.97210145,25.43171965,24.02380952,24.77233429,24.87158273,26.19655667,25.29519369,24.23032904,24.01,23.63924501,24.78093883,25.47088068,26.12889518,26.29950495,26.21544429,25.89139633,24.73523207,24.37254213,24.79971989,24.41086957
002_7347_FY19,19.71737875,8.192263279,5.562283737,10.42453917,20.03279632,22.68362069,22.26954023,25.27267509,17.24541284,5.656823394,,,,,,,,,,,,,,,
002_7449_FY19,22.72376312,24.79535232,22.02965465,23.17503748,22.70764618,22.30818318,25.54241742,,,,,,,,,,,,,,,,,,
002_7547_FY19,16.67160279,17.55307425,18.45104287,20.76332561,17.99884393,,,,,,,,,,,,,,,,,,,,
002_7552_FY19,27.71433934,27.56418919,27.89017991,27.48425787,27.61599099,,,,,,,,,,,,,,,,,,,,
002_7553_FY19,23.50674883,18.26288056,14.08421053,14.02540888,14.51808635,11.55594406,11.73633721,15.83478513,,,,,,,,,,,,,,,,,
002_7754_FY19,17.10743322,18.0849768,18.69843569,20.8400927,18.60722543,,,,,,,,,,,,,,,,,,,,
002_7855_FY19,24.18876081,24.61906475,26.62320402,25.95093123,24.91416309,,,,,,,,,,,,,,,,,,,,
002_7862_FY19,12.07101947,16.27660183,21.25028604,18.35697941,7.451428571,4.98630137,14.97028571,19.69520548,23.27023945,16.83761416,16.05472103,,,,,,,,,,,,,,
002_7866_FY19,19.56197479,18.90589888,19.45007032,20.89492243,21.45650636,,,,,,,,,,,,,,,,,,,,
002_7868_FY19,23.24244604,23.30880231,22.96237337,20.78835022,22.90783745,,,,,,,,,,,,,,,,,,,,
002_8053_FY19,24.48333333,23.04986962,22.87825521,23.14688716,21.4015544,,,,,,,,,,,,,,,,,,,,
002_8184_FY19,9.24877451,13.36779141,13.93511685,16.72533909,21.01450617,,,,,,,,,,,,,,,,,,,,
002_8215_FY19,21.41008463,21.96923621,22.08498584,23.15106383,,,,,,,,,,,,,,,,,,,,,
002_8222_FY19,10.72823597,13.79123711,17.68442153,17.9126575,19.6056701,23.16323024,22.11626575,21.1792669,22.44186712,15.23654066,18.26660939,23.22623139,22.81386025,11.27634593,,,,,,,,,,,
003_5231_FY19,18.56557923,17.01168224,21.07453209,22.04356568,20.63892617,22.65814266,23.78609987,22.46718539,,,,,,,,,,,,,,,,,
003_5337_FY19,7.836781609,7.669632606,6.73163031,7.477637615,10.13344788,14.52806415,15.02920962,16.58352403,21.34114286,20.69542857,20.274,20.79252283,13.87956621,14.8341895,20.14212329,,,,,,,,,,
003_5444_FY19,21.95914543,23.92428786,25.21776612,22.31071964,23.31371814,23.18028486,22.50824588,,,,,,,,,,,,,,,,,,
003_5450_FY19,23.29607843,22.21740548,21.40149545,21.73605707,20.77202073,,,,,,,,,,,,,,,,,,,,
003_5551_FY19,25.64296296,27.30880178,27.14164201,27.24963072,,,,,,,,,,,,,,,,,,,,,
003_5555_FY19,24.01622137,23.22588832,21.56265823,24.19981061,24.05674653,24.46761006,26.30433417,24.83865915,23.38954944,,,,,,,,,,,,,,,,
003_5647_FY19,24.58345643,25.75074074,26.76520772,28.86090504,22.62035661,26.62704309,,,,,,,,,,,,,,,,,,,
003_5654_FY19,17.707021,16.14618922,16.95877309,15.99075297,16.32847682,21.69522145,,,,,,,,,,,,,,,,,,,
003_5655_FY19,18.03313648,16.25295664,16.9525066,16.69352708,16.85662252,19.68998674,17.6668883,,,,,,,,,,,,,,,,,,
003_5750_FY19,18.89921466,17.98293963,16.56373193,17.44532279,15.79128137,16.38046358,19.30271883,17.28557181,,,,,,,,,,,,,,,,,
003_6063_FY19,11.29557292,15.5922425,17.79673203,18.37958115,17.8238189,15.83738502,16.73089592,16.15257596,16.62417219,19.59549072,17.70711436,,,,,,,,,,,,,,
003_6064_FY19,7.096964064,6.7,6.264321295,12.20199501,16.446875,18.56132666,21.58375157,24.17893082,,,,,,,,,,,,,,,,,
003_6069_FY19,25.34479167,24.94764216,25.62828492,25.84772099,25.61294766,26.98005502,,,,,,,,,,,,,,,,,,,
003_6179_FY19,17.52453271,7.413157895,12.45638173,14.73151408,11.95564042,15.76941176,17.11130742,18.36127509,12.28812057,7.144845972,9.234893365,15.24109264,,,,,,,,,,,,,
003_8059_FY19,22.64242879,23.98238381,25.97451274,23.06596702,24.12368816,23.64692654,24.22713643,,,,,,,,,,,,,,,,,,
003_8060_FY19,24.14928571,22.81124642,20.97883788,23.10431655,,,,,,,,,,,,,,,,,,,,,
004_3794_FY19,24.70760234,24.31350365,23.86370262,24.02143895,26.7943314,24.6442029,24.9146165,,,,,,,,,,,,,,,,,,
004_3893_FY19,7.550574713,7.773249139,6.557405281,7.479644495,12.38001145,16.54696449,17.41666667,19.11069794,22.63787185,22.662,21.33371429,,,,,,,,,,,,,,
004_3897_FY19,19.04595376,18.87847222,16.52462341,16.10585847,19.66492451,7.745348837,4.747380675,11.79691142,16.90741822,16.74036215,5.885380117,11.81770223,14.29988263,11.21970588,16.17264706,16.4926384,18.55430933,12.16046099,7.133590047,9.519869514,14.85599762,21.4202381,25.84981168,,
004_3996_FY19,19.59637046,9.922521957,5.602515723,10.64011335,15.09848485,19.16276865,22.00760456,20.46533079,,,,,,,,,,,,,,,,,
004_4004_FY19,19.20982659,19.48177083,16.94669757,16.86008111,20.42334495,8.447965116,3.462165308,12.32604895,16.84568261,16.79410047,5.256432749,11.72919109,14.47212441,10.72882353,15.93529412,16.72320377,18.49793388,11.50265957,4.588862559,,,,,,
004_4100_FY19,25.70914543,24.45989505,24.75037425,26.46444611,,,,,,,,,,,,,,,,,,,,,
004_4109_FY19,15.8317757,20.97627005,20.11040268,20.49764785,22.98315364,22.58468286,,,,,,,,,,,,,,,,,,,
004_4306_FY19,19.99421965,8.217090069,6.253748558,11.90063364,20.36536249,22.91743383,21.56063218,25.15241102,18.19237385,6.963302752,13.3722795,,,,,,,,,,,,,,
